iter	Passed	Remaining
0	2	644
1	4	635
2	6	629
3	8	624
4	10	631
5	12	609
6	14	594
7	15	579
8	17	575
9	19	561
10	21	561
11	23	559
12	24	551
13	26	547
14	28	539
15	30	538
16	32	533
17	33	529
18	35	527
19	37	522
20	38	515
21	40	510
22	42	508
23	44	506
24	45	503
25	47	502
26	50	507
27	52	505
28	54	505
29	56	505
30	58	503
31	59	497
32	61	495
33	63	493
34	65	497
35	67	496
36	69	493
37	71	491
38	72	487
39	74	486
40	77	488
41	79	487
42	81	487
43	83	484
44	85	482
45	86	479
46	88	476
47	90	473
48	91	469
49	93	466
50	94	462
51	96	460
52	98	459
53	100	457
54	101	453
55	103	452
56	105	451
57	107	449
58	109	447
59	111	446
60	113	445
61	116	446
62	118	444
63	120	442
64	121	440
65	123	438
66	125	437
67	127	435
68	129	433
69	131	432
70	133	430
71	135	428
72	137	429
73	140	428
74	142	426
75	144	426
76	146	424
77	148	423
78	150	420
79	151	417
80	153	415
81	155	414
82	157	412
83	160	411
84	161	407
85	163	406
86	165	404
87	166	402
88	168	400
89	170	398
90	172	396
91	174	394
92	175	391
93	177	389
94	179	387
95	181	385
96	183	383
97	185	381
98	187	380
99	189	378
100	191	376
101	193	374
102	195	373
103	197	371
104	199	369
105	200	367
106	202	365
107	206	366
108	207	364
109	209	361
110	211	359
111	213	358
112	215	356
113	217	354
114	220	354
115	222	352
116	224	350
117	226	349
118	228	347
119	230	345
120	232	343
121	234	341
122	236	340
123	238	338
124	240	336
125	242	334
126	244	332
127	246	330
128	247	328
129	249	326
130	252	325
131	253	323
132	255	321
133	257	319
134	260	317
135	261	315
136	264	314
137	266	312
138	268	310
139	270	308
140	272	307
141	274	305
142	276	303
143	278	301
144	280	300
145	282	297
146	284	296
147	286	294
148	288	292
149	290	290
150	292	288
151	295	287
152	297	285
153	298	283
154	300	281
155	302	279
156	304	277
157	306	275
158	308	273
159	310	271
160	312	269
161	314	268
162	316	266
163	318	264
164	320	262
165	322	260
166	324	258
167	326	256
168	328	254
169	330	252
170	332	250
171	334	248
172	336	246
173	338	244
174	340	243
175	342	241
176	344	239
177	346	237
178	348	235
179	350	233
180	352	231
181	354	229
182	356	227
183	358	226
184	360	224
185	362	222
186	364	220
187	366	218
188	368	216
189	370	214
190	372	212
191	374	210
192	376	208
193	378	206
194	380	204
195	382	202
196	384	200
197	386	199
198	388	196
199	390	195
200	392	193
201	394	191
202	395	189
203	397	187
204	400	185
205	402	183
206	404	181
207	406	180
208	408	178
209	411	176
210	413	174
211	416	172
212	418	170
213	420	169
214	422	167
215	424	165
216	426	163
217	428	161
218	430	159
219	432	157
220	434	155
221	436	153
222	438	151
223	440	149
224	442	147
225	445	145
226	446	143
227	449	141
228	450	139
229	452	137
230	454	135
231	456	133
232	458	131
233	460	129
234	462	127
235	465	126
236	467	124
237	469	122
238	471	120
239	473	118
240	475	116
241	477	114
242	479	112
243	481	110
244	484	108
245	486	106
246	488	104
247	490	102
248	492	100
249	495	99
250	497	97
251	499	95
252	501	93
253	503	91
254	505	89
255	507	87
256	509	85
257	511	83
258	513	81
259	515	79
260	517	77
261	519	75
262	521	73
263	523	71
264	526	69
265	528	67
266	530	65
267	532	63
268	534	61
269	536	59
270	538	57
271	540	55
272	542	53
273	544	51
274	546	49
275	549	47
276	551	45
277	553	43
278	555	41
279	557	39
280	559	37
281	561	35
282	563	33
283	565	31
284	567	29
285	569	27
286	571	25
287	573	23
288	575	21
289	577	19
290	579	17
291	581	15
292	583	13
293	585	11
294	587	9
295	589	7
296	591	5
297	593	3
298	595	1
299	597	0
